Training Accuracy,Testing Accuracy
94.145,96.07
94.60166666666667,96.06
94.685,96.09
94.70666666666666,96.11
94.72833333333334,96.13
94.8,96.16
94.82333333333334,96.15
94.785,96.17
94.79,96.15
94.75333333333333,96.17
94.8,96.16
94.815,96.19
94.77833333333334,96.16
94.90333333333334,96.16
94.88166666666666,96.15
94.78333333333333,96.13
94.815,96.15
94.79833333333333,96.15
94.90166666666667,96.14
94.81666666666666,96.15
94.87166666666667,96.15
94.84666666666666,96.14
94.885,96.14
94.87,96.13
94.85333333333334,96.15
94.815,96.14
94.87166666666667,96.15
94.81166666666667,96.14
94.83166666666666,96.12
94.86666666666666,96.12
94.885,96.12
94.91166666666666,96.12
94.82666666666667,96.12
94.815,96.12
94.82,96.12
94.87666666666667,96.13
94.88166666666666,96.13
94.85333333333334,96.13
94.86166666666666,96.13
94.86333333333333,96.13
94.805,96.12
94.84333333333333,96.13
94.87833333333333,96.13
94.79666666666667,96.13
94.89833333333333,96.13
94.81833333333333,96.14
94.83666666666667,96.13
94.79333333333334,96.13
94.87,96.12
94.83166666666666,96.12
