Number of Samples,Perceptron Training Accuracy,Perceptron Testing Accuracy,Perceptron Training Mistakes,Perceptron Testing Mistakes,Passive Aggressive Training Accuracy,Passive Aggressive Testing Accuracy,Passive Aggressive Training Mistakes,Passive Aggressive Testing Mistakes
100,100.0,93.27,0,673,100.0,93.63,0,637
200,100.0,93.79,0,621,100.0,93.63,0,637
300,98.33333333333333,94.26,5,574,100.0,94.02,0,598
400,98.25,93.12,7,688,98.0,93.31,8,669
500,98.4,90.2,8,980,100.0,94.01,0,599
600,98.0,94.21,12,579,98.5,92.94,9,706
700,98.14285714285714,90.82,13,918,98.28571428571429,93.84,12,616
800,98.125,90.41,15,959,98.375,92.33,13,767
900,95.77777777777777,94.01,38,599,97.66666666666667,90.3,21,970
1000,97.3,94.35,27,565,97.7,93.22,23,678
1100,96.9090909090909,94.61,34,539,98.36363636363636,94.16,18,584
1200,96.5,94.64,42,536,98.16666666666667,94.26,22,574
1300,96.53846153846153,93.8,45,620,97.53846153846153,89.44,32,1056
1400,96.42857142857143,92.87,50,713,97.14285714285714,92.43,40,757
1500,95.86666666666666,93.29,62,671,97.26666666666667,94.67,41,533
1600,96.5,94.7,56,530,96.5,94.48,56,552
1700,96.17647058823529,91.51,65,849,97.47058823529412,94.18,43,582
1800,95.72222222222223,90.57,77,943,96.66666666666667,92.8,60,720
1900,96.47368421052632,94.55,67,545,96.57894736842105,93.7,65,630
2000,96.1,87.03,78,1297,96.3,91.72,74,828
2100,95.9047619047619,94.03,86,597,97.0,90.51,63,949
2200,95.9090909090909,93.27,90,673,96.72727272727273,93.25,72,675
2300,96.3913043478261,93.3,83,670,96.34782608695652,94.0,84,600
2400,96.33333333333333,94.64,88,536,96.5,94.73,84,527
2500,96.52,94.63,87,537,96.68,94.54,83,546
2600,96.3076923076923,92.21,96,779,96.96153846153847,94.13,79,587
2700,96.25925925925925,93.92,101,608,96.07407407407408,94.08,106,592
2800,95.42857142857143,94.33,128,567,96.14285714285714,92.83,108,717
2900,95.96551724137932,94.55,117,545,95.89655172413794,94.58,119,542
3000,96.0,94.57,120,543,96.56666666666666,94.1,103,590
3100,95.58064516129032,94.93,137,507,96.29032258064517,93.74,115,626
3200,96.21875,94.85,121,515,96.0625,94.51,126,549
3300,95.75757575757575,93.8,140,620,96.0909090909091,93.45,129,655
3400,96.05882352941177,93.88,134,612,96.17647058823529,94.55,130,545
3500,96.17142857142858,95.08,134,492,96.02857142857142,94.99,139,501
3600,96.11111111111111,94.29,140,571,95.83333333333333,93.88,150,612
3700,95.70270270270271,94.81,159,519,96.51351351351352,94.64,129,536
3800,95.73684210526316,94.35,162,565,95.94736842105263,94.82,154,518
3900,95.76923076923077,80.67,165,1933,95.61538461538461,91.86,171,814
4000,95.7,93.74,172,626,95.425,93.73,183,627
4100,95.6829268292683,92.34,177,766,95.97560975609755,93.44,165,656
4200,95.38095238095238,95.09,194,491,95.57142857142857,94.5,186,550
4300,95.88372093023256,94.96,177,504,95.62790697674419,94.68,188,532
4400,95.70454545454545,95.03,189,497,95.63636363636364,93.94,192,606
4500,95.84444444444445,93.7,187,630,96.06666666666666,95.04,177,496
4600,96.1086956521739,94.72,179,528,95.6086956521739,94.04,202,596
4700,96.0,93.67,188,633,95.63829787234043,93.97,205,603
4800,96.14583333333333,92.65,185,735,95.70833333333333,94.23,206,577
4900,95.59183673469387,85.51,216,1449,95.91836734693878,93.59,200,641
5000,96.14,95.34,193,466,95.88,95.01,206,499
5100,95.80392156862744,88.99,214,1101,95.56862745098039,92.13,226,787
5200,95.51923076923077,92.12,233,788,95.5,93.19,234,681
5300,95.86792452830188,94.54,219,546,95.75471698113208,94.98,225,502
5400,95.81481481481481,92.03,226,797,95.5,92.93,243,707
5500,95.96363636363637,91.32,222,868,96.0,91.17,220,883
5600,95.67857142857143,94.63,242,537,95.51785714285714,89.18,251,1082
5700,95.54385964912281,93.51,254,649,95.28070175438596,94.52,269,548
5800,95.46551724137932,94.36,263,564,95.20689655172414,95.01,278,499
5900,95.84745762711864,94.78,245,522,95.52542372881356,90.06,264,994
6000,95.26666666666667,94.26,284,574,95.41666666666667,94.72,275,528
6100,95.44262295081967,94.15,278,585,95.40983606557377,94.28,280,572
6200,95.5,93.06,279,694,95.16129032258064,94.31,300,569
6300,95.46031746031746,94.44,286,556,95.44444444444444,93.83,287,617
6400,95.75,94.96,272,504,95.328125,94.23,299,577
6500,95.46153846153847,92.83,295,717,95.55384615384615,89.76,289,1024
6600,95.60606060606061,91.43,290,857,94.93939393939394,92.65,334,735
6700,95.7910447761194,93.91,282,609,95.16417910447761,89.11,324,1089
6800,95.67647058823529,91.93,294,807,95.38235294117646,92.16,314,784
6900,95.92753623188406,94.52,281,548,95.44927536231884,94.14,314,586
7000,95.62857142857143,94.77,306,523,95.11428571428571,94.4,342,560
7100,95.80281690140845,94.31,298,569,95.01408450704226,92.79,354,721
7200,95.55555555555556,93.31,320,669,95.23611111111111,94.34,343,566
7300,95.72602739726027,94.72,312,528,95.35616438356165,94.43,339,557
7400,95.8108108108108,94.92,310,508,95.02702702702703,94.82,368,518
7500,95.33333333333333,94.15,350,585,95.13333333333334,94.24,365,576
7600,95.52631578947368,95.11,340,489,95.25,94.72,361,528
7700,95.67532467532467,94.65,333,535,95.45454545454545,93.63,350,637
7800,95.74358974358974,90.8,332,920,95.06410256410257,92.81,385,719
7900,95.72151898734177,94.75,338,525,95.27848101265823,94.23,373,577
8000,95.625,78.68,350,2132,95.2875,93.67,377,633
8100,95.62962962962963,92.59,354,741,95.18518518518519,86.39,390,1361
8200,95.67073170731707,94.78,355,522,95.08536585365853,94.3,403,570
8300,95.49397590361446,93.94,374,606,95.3012048192771,83.46,390,1654
8400,95.45238095238095,93.23,382,677,95.07142857142857,91.7,414,830
8500,95.63529411764706,95.06,371,494,95.11764705882354,94.13,415,587
8600,95.33720930232558,94.79,401,521,94.83720930232558,94.63,444,537
8700,95.47126436781609,94.85,394,515,94.9080459770115,94.17,443,583
8800,95.48863636363636,89.31,397,1069,94.64772727272727,88.99,471,1101
8900,95.56179775280899,94.12,395,588,94.61797752808988,94.45,479,555
9000,95.41111111111111,95.01,413,499,95.07777777777778,93.81,443,619
9100,95.68131868131869,95.01,393,499,94.5934065934066,94.09,492,591
9200,95.3586956521739,93.72,427,628,94.68478260869566,91.85,489,815
9300,95.51612903225806,94.23,417,577,94.80645161290323,94.45,483,555
9400,95.40425531914893,95.0,432,500,95.12765957446808,93.13,458,687
9500,95.3578947368421,86.4,441,1360,94.52631578947368,88.02,520,1198
9600,95.27083333333333,95.18,454,482,95.05208333333333,92.49,475,751
9700,95.27835051546391,93.89,458,611,95.0,94.51,485,549
9800,95.28571428571429,94.94,462,506,94.83673469387755,94.18,506,582
9900,95.46464646464646,95.13,449,487,94.82828282828282,94.81,512,519
10000,95.24,94.74,476,526,94.72,94.63,528,537
10100,95.36633663366337,94.28,468,572,94.94059405940594,94.68,511,532
10200,95.29411764705883,95.14,480,486,94.61764705882354,94.29,549,571
10300,95.2621359223301,94.94,488,506,94.66990291262135,94.42,549,558
10400,95.50961538461539,95.07,467,493,94.59615384615384,94.74,562,526
10500,95.22857142857143,95.0,501,500,94.88571428571429,93.99,537,601
10600,95.4245283018868,94.66,485,534,94.83018867924528,92.84,548,716
10700,95.32710280373831,93.13,500,687,94.77570093457943,93.56,559,644
10800,95.47222222222223,95.17,489,483,94.87962962962963,94.49,553,551
10900,95.4954128440367,95.11,491,489,94.69724770642202,93.58,578,642
11000,95.3,93.58,517,642,94.83636363636364,94.26,568,574
11100,95.43243243243244,95.09,507,491,94.8108108108108,94.63,576,537
11200,95.39285714285714,90.6,516,940,94.86607142857143,93.67,575,633
11300,95.41592920353982,94.82,518,518,94.77876106194691,94.63,590,537
11400,95.52631578947368,95.19,510,481,94.70175438596492,94.84,604,516
11500,95.59130434782608,95.03,507,497,94.75652173913043,94.37,603,563
11600,95.30172413793103,95.05,545,495,94.69827586206897,94.3,615,570
11700,95.43589743589743,94.71,534,529,94.6068376068376,94.32,631,568
11800,95.57627118644068,93.39,522,661,94.8135593220339,94.3,612,570
11900,95.39495798319328,94.27,548,573,94.66386554621849,94.1,635,590
12000,95.34166666666667,93.81,559,619,94.58333333333333,94.7,650,530
12100,95.3801652892562,95.21,559,479,94.77685950413223,94.07,632,593
12200,95.30327868852459,92.74,573,726,94.71311475409836,94.05,645,595
12300,95.44715447154472,94.81,560,519,94.85365853658537,94.82,633,518
12400,95.3225806451613,92.66,580,734,94.66935483870968,93.95,661,605
12500,95.552,95.2,556,480,94.728,93.89,659,611
12600,95.63492063492063,94.66,550,534,94.76190476190476,94.63,660,537
12700,95.38582677165354,95.23,586,477,94.7007874015748,94.11,673,589
12800,95.515625,94.74,574,526,94.7265625,94.35,675,565
12900,95.54263565891473,93.7,575,630,94.75968992248062,92.04,676,796
13000,95.51538461538462,87.94,583,1206,94.73846153846154,89.04,684,1096
13100,95.59541984732824,93.88,577,612,94.91603053435115,91.55,666,845
13200,95.53787878787878,94.76,589,524,94.86363636363636,94.45,678,555
13300,95.51127819548873,95.43,597,457,94.75187969924812,93.6,698,640
13400,95.41791044776119,95.51,614,449,94.80597014925372,94.38,696,562
13500,95.45925925925926,94.32,613,568,94.88888888888889,94.82,690,518
13600,95.51470588235294,94.83,610,517,94.61764705882354,90.71,732,929
13700,95.4963503649635,95.01,617,499,94.93430656934306,94.9,694,510
13800,95.55797101449275,95.35,613,465,94.67391304347827,92.79,735,721
13900,95.56115107913669,95.33,617,467,94.75539568345324,93.7,729,630
14000,95.59285714285714,95.05,617,495,94.72142857142858,94.15,739,585
14100,95.53900709219859,95.22,629,478,94.75886524822695,94.46,739,554
14200,95.5,95.04,639,496,94.6056338028169,95.16,766,484
14300,95.62237762237763,93.29,626,671,94.8041958041958,94.02,743,598
14400,95.49305555555556,91.47,649,853,94.74305555555556,93.09,757,691
14500,95.59310344827587,95.03,639,497,94.67586206896551,94.58,772,542
14600,95.55479452054794,95.54,649,446,94.73972602739725,93.54,768,646
14700,95.80272108843538,95.25,617,475,94.58503401360544,94.03,796,597
14800,95.47297297297297,93.78,670,622,94.51351351351352,85.99,812,1401
14900,95.35570469798658,95.43,692,457,94.63087248322148,93.51,800,649
15000,95.47333333333333,94.87,679,513,94.73333333333333,92.92,790,708
15100,95.50331125827815,92.94,679,706,94.72847682119205,86.22,796,1378
15200,95.5592105263158,94.53,675,547,94.80263157894737,94.17,790,583
15300,95.3202614379085,94.99,716,501,94.61437908496733,93.64,824,636
