Number of Samples,Perceptron Training Accuracy,Perceptron Testing Accuracy,Perceptron Training Mistakes,Perceptron Testing Mistakes
100,100.0,65.06,0,3494
200,92.5,64.11,15,3589
300,94.66666666666667,68.33,16,3167
400,92.75,72.1,29,2790
500,95.2,75.22,24,2478
600,94.33333333333333,72.15,34,2785
700,91.28571428571429,75.59,61,2441
800,89.625,67.77,83,3223
900,90.55555555555556,74.99,85,2501
1000,90.9,76.84,91,2316
1100,89.45454545454545,74.25,116,2575
1200,90.5,76.49,114,2351
1300,88.46153846153847,72.58,150,2742
1400,90.0,69.96,140,3004
1500,89.93333333333334,74.55,151,2545
1600,88.4375,74.36,185,2564
1700,88.23529411764706,74.42,200,2558
1800,87.55555555555556,74.9,224,2510
1900,88.26315789473684,72.53,223,2747
2000,87.95,74.07,241,2593
2100,88.14285714285714,72.41,249,2759
2200,87.36363636363636,70.87,278,2913
2300,87.47826086956522,71.38,288,2862
2400,86.91666666666667,76.17,314,2383
2500,86.88,71.69,328,2831
2600,86.26923076923077,75.29,357,2471
2700,87.55555555555556,76.11,336,2389
2800,87.5,75.93,350,2407
2900,86.6896551724138,74.72,386,2528
3000,86.16666666666667,75.92,415,2408
3100,85.87096774193549,78.38,438,2162
3200,85.21875,77.13,473,2287
3300,85.96969696969697,72.86,463,2714
3400,85.61764705882354,77.86,489,2214
3500,85.48571428571428,74.24,508,2576
3600,85.55555555555556,71.43,520,2857
3700,85.32432432432432,76.64,543,2336
3800,85.13157894736842,77.09,565,2291
3900,85.48717948717949,77.97,566,2203
4000,85.15,74.02,594,2598
4100,85.17073170731707,73.15,608,2685
4200,84.64285714285714,74.49,645,2551
4300,84.93023255813954,74.72,648,2528
4400,85.31818181818181,75.67,646,2433
4500,85.26666666666667,76.93,663,2307
4600,85.04347826086956,79.38,688,2062
4700,85.48936170212765,74.63,682,2537
4800,84.375,75.31,750,2469
4900,85.22448979591837,77.94,724,2206
5000,84.72,78.44,764,2156
5100,84.62745098039215,75.47,784,2453
5200,84.71153846153847,78.91,795,2109
5300,84.24528301886792,72.68,835,2732
5400,84.44444444444444,78.29,840,2171
5500,84.36363636363636,78.2,860,2180
5600,84.10714285714286,69.07,890,3093
5700,84.3859649122807,75.28,890,2472
5800,85.05172413793103,75.04,867,2496
5900,84.61016949152543,77.98,908,2202
6000,83.96666666666667,80.38,962,1962
6100,84.45901639344262,69.03,948,3097
6200,84.1774193548387,78.86,981,2114
6300,83.96825396825396,76.92,1010,2308
6400,85.015625,79.16,959,2084
6500,83.64615384615385,79.49,1063,2051
6600,84.43939393939394,78.27,1027,2173
6700,84.67164179104478,79.26,1027,2074
6800,84.42647058823529,77.78,1059,2222
6900,84.44927536231884,78.12,1073,2188
7000,84.78571428571429,72.28,1065,2772
7100,83.80281690140845,77.85,1150,2215
7200,84.63888888888889,70.2,1106,2980
7300,84.43835616438356,79.16,1136,2084
7400,83.41891891891892,77.14,1227,2286
7500,83.68,73.57,1224,2643
7600,84.10526315789474,79.61,1208,2039
7700,84.1038961038961,78.07,1224,2193
7800,84.06410256410257,77.2,1243,2280
7900,83.88607594936708,79.47,1273,2053
8000,83.4625,77.32,1323,2268
8100,83.4320987654321,76.38,1342,2362
8200,83.85365853658537,80.51,1324,1949
8300,83.74698795180723,78.77,1349,2123
8400,83.71428571428571,74.82,1368,2518
8500,84.03529411764706,79.37,1357,2063
8600,83.47674418604652,74.4,1421,2560
8700,84.0,75.01,1392,2499
8800,83.31818181818181,77.07,1468,2293
8900,83.24719101123596,78.67,1491,2133
9000,83.24444444444444,77.2,1508,2280
9100,83.35164835164835,74.06,1515,2594
9200,84.08695652173913,73.39,1464,2661
9300,83.50537634408602,75.61,1534,2439
9400,83.37234042553192,81.02,1563,1898
9500,83.37894736842105,70.86,1579,2914
9600,83.29166666666667,78.41,1604,2159
9700,83.0618556701031,75.52,1643,2448
9800,82.6938775510204,77.71,1696,2229
9900,82.8080808080808,77.93,1702,2207
10000,82.89,81.1,1711,1890
10100,82.61386138613861,65.31,1756,3469
10200,82.86274509803921,77.32,1748,2268
10300,83.29126213592232,77.25,1721,2275
10400,82.66346153846153,76.71,1803,2329
10500,83.11428571428571,77.85,1773,2215
10600,83.28301886792453,78.48,1772,2152
10700,83.01869158878505,78.2,1817,2180
10800,82.92592592592592,78.28,1844,2172
10900,83.11009174311927,79.17,1841,2083
11000,83.05454545454545,79.81,1864,2019
11100,83.1891891891892,77.56,1866,2244
11200,82.92857142857143,75.08,1912,2492
11300,82.94690265486726,73.63,1927,2637
11400,82.97368421052632,71.87,1941,2813
11500,82.74782608695652,76.43,1984,2357
11600,82.98275862068965,77.26,1974,2274
11700,83.0,76.91,1989,2309
11800,83.28813559322033,79.18,1972,2082
11900,83.24369747899159,77.22,1994,2278
12000,82.65,77.5,2082,2250
12100,82.69421487603306,71.82,2094,2818
12200,82.79508196721312,73.55,2099,2645
12300,82.869918699187,76.34,2107,2366
12400,82.50806451612904,78.47,2169,2153
12500,82.512,74.92,2186,2508
12600,82.38095238095238,77.27,2220,2273
12700,82.90551181102362,78.45,2171,2155
12800,82.5390625,74.97,2235,2503
12900,82.90697674418605,74.18,2205,2582
13000,82.75384615384615,80.1,2242,1990
13100,82.57251908396947,77.37,2283,2263
13200,82.88636363636364,77.52,2259,2248
13300,82.58646616541354,75.55,2316,2445
13400,83.08955223880596,69.9,2266,3010
