Training Accuracy,Testing Accuracy
75.545,79.73
78.25666666666666,71.91
79.0,72.6
79.33166666666666,73.39
79.58333333333333,76.76
79.74833333333333,76.79
79.89,76.14
80.11,81.9
80.07833333333333,81.78
80.21166666666667,81.66
80.40166666666667,80.15
80.43,79.04
80.355,75.57
80.67333333333333,77.95
80.36,75.85
80.49333333333334,76.24
80.49666666666667,76.99
80.63666666666667,76.18
80.75333333333333,81.1
80.525,74.4
80.75333333333333,77.98
80.715,79.81
80.855,77.14
80.775,80.89
80.73166666666667,81.06
80.98333333333333,80.68
80.86166666666666,77.42
80.95333333333333,77.47
80.885,77.63
80.95666666666666,80.31
80.92,78.55
80.97833333333334,76.76
81.0,80.62
80.92666666666666,82.27
80.96333333333334,77.8
81.005,76.14
81.0,78.37
80.86333333333333,73.34
80.99166666666666,79.77
81.01333333333334,78.19
81.03166666666667,80.26
81.06166666666667,76.92
80.89333333333333,80.91
81.11833333333334,76.44
81.08,77.67
81.09666666666666,75.55
81.12833333333333,81.88
81.22166666666666,80.86
81.045,80.76
81.26666666666667,80.72
