Training Accuracy,Testing Accuracy
93.21,94.54
93.76833333333333,94.91
93.85666666666667,94.22
93.90833333333333,95.15
93.915,95.24
93.94333333333333,94.71
93.93,94.99
93.96333333333334,95.04
93.87,95.03
93.975,95.12
93.99833333333333,94.97
94.06,95.28
93.99166666666666,95.17
93.95666666666666,95.05
94.04,95.09
93.99333333333334,95.05
93.99833333333333,94.98
93.935,95.3
94.00333333333333,94.94
94.01166666666667,95.15
94.05666666666667,95.26
93.94166666666666,95.22
94.03166666666667,95.27
93.95166666666667,95.1
94.04833333333333,95.25
94.06,95.03
94.01333333333334,94.98
94.00333333333333,95.05
94.01666666666667,94.82
93.99333333333334,95.16
93.97833333333334,95.01
93.93666666666667,94.85
94.00333333333333,95.25
93.96,95.15
94.00666666666666,95.04
94.07,95.06
94.03666666666666,95.01
94.02333333333333,95.08
94.02,94.9
94.07,95.03
93.985,94.86
94.00833333333334,95.27
94.01333333333334,95.01
94.03333333333333,94.95
94.03833333333333,94.88
93.98166666666667,95.0
94.02833333333334,95.0
93.97333333333333,95.13
94.06166666666667,94.94
93.96166666666667,95.14
