Training Accuracy,Testing Accuracy
94.145,93.68
94.73833333333333,94.38
94.88333333333334,94.66
94.97166666666666,95.01
94.99666666666667,95.72
95.02833333333334,95.35
94.99,93.75
95.0,95.51
95.03833333333333,95.2
95.07166666666667,94.32
95.02333333333333,94.28
95.11166666666666,94.8
95.005,95.12
94.97833333333334,95.42
95.04666666666667,94.72
95.095,95.39
95.115,95.08
95.07666666666667,95.44
95.03833333333333,93.04
95.10833333333333,94.08
95.11333333333333,95.42
95.15333333333334,95.3
95.07166666666667,93.35
95.09833333333333,95.63
95.05333333333333,95.36
95.085,93.46
95.175,95.16
95.05166666666666,95.04
95.16333333333333,93.61
95.07,95.18
95.13666666666667,95.52
95.16,94.76
95.05166666666666,95.55
95.15333333333334,95.26
95.11166666666666,95.16
95.16333333333333,93.91
95.075,95.22
95.16833333333334,95.05
95.095,95.05
95.21666666666667,94.5
95.14,94.61
95.07666666666667,95.21
95.04666666666667,95.51
95.25,95.06
95.12333333333333,94.6
95.17,95.34
95.17666666666666,94.87
95.145,95.53
95.13333333333334,94.65
95.15833333333333,94.59
