State,Action,Q-Value
"(0, 0)",down,-0.6482467074091612
"(0, 0)",right,-0.643021839095935
"(0, 1)",down,-0.6113377940646874
"(0, 1)",left,-0.6237773221352507
"(0, 1)",right,-0.5973241671904093
"(0, 2)",down,-0.5681901432850243
"(0, 2)",left,-0.582094825164825
"(0, 2)",right,-0.5429629768314024
"(0, 3)",down,-0.48152893357423765
"(0, 3)",left,-0.5487237262309038
"(0, 3)",right,-0.5267048227142546
"(0, 4)",down,-0.45531829151591774
"(0, 4)",left,-0.49258877708072385
"(0, 4)",right,-0.4858262775966424
"(0, 5)",down,-0.40323595708257104
"(0, 5)",left,-0.45211969611831676
"(0, 5)",right,-0.44606634763031683
"(0, 6)",down,-0.42366339274350684
"(0, 6)",left,-0.4239046753752535
"(0, 6)",right,-0.4237094136049561
"(0, 7)",down,-0.40387335616636943
"(0, 7)",left,-0.4040919614166277
"(0, 7)",right,-0.4035364445130688
"(0, 8)",down,-0.38463325012883925
"(0, 8)",left,-0.38493437738570374
"(0, 8)",right,-0.38460612374273534
"(0, 9)",down,-0.3686866654930272
"(0, 9)",left,-0.36830162407313466
"(1, 0)",up,-0.6208435921212244
"(1, 0)",down,-0.6156902824176761
"(1, 0)",right,-0.6155578128220932
"(1, 1)",up,-0.5922915157911129
"(1, 1)",left,-0.5941908269291728
"(1, 1)",right,-0.5709966117146767
"(1, 2)",up,-0.5606138212993462
"(1, 2)",left,-0.5634153645614993
"(1, 2)",right,-0.4982768168814163
"(1, 3)",up,-0.5282942701837693
"(1, 3)",left,-0.5327277673279033
"(1, 3)",right,-0.4140373127205513
"(1, 4)",up,-0.4939337958289087
"(1, 4)",left,-0.4867243006736581
"(1, 4)",right,-0.3432926613876721
"(1, 5)",up,-0.44803098658445945
"(1, 5)",down,-0.26711872847219087
"(1, 5)",left,-0.43336769546983944
"(1, 5)",right,-0.43857632138698205
"(1, 6)",up,-0.4178473686842288
"(1, 6)",left,-0.393653335879185
"(1, 6)",right,-0.41359759492282067
"(1, 7)",up,-0.3995814899820454
"(1, 7)",left,-0.39901495848316637
"(1, 7)",right,-0.3991593818687935
"(1, 8)",up,-0.3792879491190333
"(1, 8)",left,-0.3794961120591012
"(1, 8)",right,-0.3787080413169593
"(1, 9)",up,-0.35050372935114055
"(1, 9)",down,-0.3505462949299157
"(1, 9)",left,-0.35189621699157086
"(2, 0)",up,-0.5892320205343504
