State,Action,Q-Value
"(0, 0)",down,-0.6504946780562196
"(0, 0)",right,-0.6443521308342004
"(0, 1)",down,-0.6139555152982904
"(0, 1)",left,-0.6144134575643376
"(0, 1)",right,-0.5976179702711437
"(0, 2)",down,-0.5745184360423825
"(0, 2)",left,-0.5747339391634079
"(0, 2)",right,-0.5424100581852334
"(0, 3)",down,-0.4805037025229396
"(0, 3)",left,-0.5334407466818458
"(0, 3)",right,-0.5330787551291793
"(0, 4)",down,-0.4846279527682149
"(0, 4)",left,-0.4906415947785121
"(0, 4)",right,-0.4906323158948513
"(0, 5)",down,-0.44502772348448794
"(0, 5)",left,-0.4506562597674495
"(0, 5)",right,-0.4499521519429105
"(0, 6)",down,-0.42645439787386985
"(0, 6)",left,-0.42664537089797244
"(0, 6)",right,-0.4266454291798771
"(0, 7)",down,-0.4074907845868376
"(0, 7)",left,-0.4070056386688603
"(0, 7)",right,-0.40708075421256484
"(0, 8)",down,-0.38938008164324606
"(0, 8)",left,-0.38915104840666087
"(0, 8)",right,-0.389054657737214
"(0, 9)",down,-0.3734622311550211
"(0, 9)",left,-0.3741149091268669
"(1, 0)",up,-0.6195962324934988
"(1, 0)",down,-0.6193462459537434
"(1, 0)",right,-0.6192714925015677
"(1, 1)",up,-0.5903782847126218
"(1, 1)",left,-0.5903985180246513
"(1, 1)",right,-0.5822495531311928
"(1, 2)",up,-0.5542339616545914
"(1, 2)",left,-0.5542573567018185
"(1, 2)",right,-0.518746713239136
"(1, 3)",up,-0.5137994393619617
"(1, 3)",left,-0.5140367799997728
"(1, 3)",right,-0.4140413986639023
"(1, 4)",up,-0.46928634670590413
"(1, 4)",left,-0.46940163822662617
"(1, 4)",right,-0.34325153974179884
"(1, 5)",up,-0.42062548950880463
"(1, 5)",down,-0.2667269995514143
"(1, 5)",left,-0.4209332072593115
"(1, 5)",right,-0.4206293896603081
"(1, 6)",up,-0.41696793051353936
"(1, 6)",left,-0.416318511061261
"(1, 6)",right,-0.4167794016822424
"(1, 7)",up,-0.40270151533035237
"(1, 7)",left,-0.4030432555644521
"(1, 7)",right,-0.4031169150557719
"(1, 8)",up,-0.38380938879401927
"(1, 8)",left,-0.38382590988375626
"(1, 8)",right,-0.3838677825184156
"(1, 9)",up,-0.3564835369007491
"(1, 9)",down,-0.35670573357345753
"(1, 9)",left,-0.35720230161621813
"(2, 0)",up,-0.5929700027255119
"(2, 0)",down,-0.5927028726776598
"(2, 5)",up,-0.36600663194513566
"(2, 5)",down,-0.1833122841525091
"(2, 9)",up,-0.31353440692631684
"(2, 9)",down,-0.3126523243087697
"(3, 0)",up,-0.5633405628650862
"(3, 0)",down,-0.5632601145325978
"(3, 0)",right,-0.5633956685318731
"(3, 1)",down,-0.542846747799959
"(3, 1)",left,-0.5430353762737059
"(3, 1)",right,-0.5431721520690956
"(3, 2)",down,-0.5320813405686401
"(3, 2)",left,-0.5319755982319154
"(3, 2)",right,-0.5370305109771396
"(3, 3)",down,-0.09368204503634175
"(3, 3)",left,-0.09180743891816037
"(3, 5)",up,-0.3083183431736417
"(3, 5)",down,-0.31177142216737974
"(3, 5)",right,-0.0916650242592072
"(3, 6)",down,-0.2553795430747521
"(3, 6)",left,-0.25099161564495703
"(3, 6)",right,0.009612825213058085
"(3, 7)",down,0.12190283477592989
"(3, 7)",left,-0.19653385159124195
"(3, 7)",right,-0.19607129002791795
"(3, 8)",down,-0.20958861912833024
"(3, 8)",left,-0.1645295156698824
"(3, 8)",right,-0.20958972005122498
"(3, 9)",up,-0.25748969999903537
"(3, 9)",down,-0.2571681829272161
"(3, 9)",left,-0.2567188860504944
"(4, 0)",up,-0.5391148659445829
"(4, 0)",down,-0.5386046531808949
"(4, 0)",right,-0.5386178671742362
"(4, 1)",up,-0.528548676440114
"(4, 1)",down,-0.5285266199412283
"(4, 1)",left,-0.528985740270661
"(4, 1)",right,-0.5284372576217712
"(4, 2)",up,-0.5204637468508139
"(4, 2)",down,-0.5200551506861008
"(4, 2)",left,-0.5200864973347123
"(4, 2)",right,-0.520370593402179
"(4, 3)",up,-0.5167833964752127
"(4, 3)",down,-0.5133962442051376
"(4, 3)",left,-0.5130788265851145
"(4, 5)",up,-0.009504857701381118
"(4, 5)",down,0.26050209545493697
"(4, 5)",right,-0.1353577454915313
"(4, 6)",up,-0.02425667506321291
"(4, 6)",down,-0.14564594348189117
"(4, 6)",left,-0.17332417875066178
"(4, 6)",right,-0.021965995299258582
"(4, 7)",up,-0.1463058484670988
"(4, 7)",down,0.24658558140674947
"(4, 7)",left,-0.22849610147385765
"(4, 7)",right,-0.14680439252482858
"(4, 8)",up,-0.18142026734604552
"(4, 8)",down,-0.3295754132913125
"(4, 8)",left,-0.111702375333149
"(4, 8)",right,-0.18176075961865948
"(4, 9)",up,-0.2140275822755818
"(4, 9)",down,-0.21366171596207054
"(4, 9)",left,-0.21267605890120497
"(5, 0)",up,-0.5165174184921735
"(5, 0)",down,-0.5159447540686184
"(5, 0)",right,-0.5163730903393463
"(5, 1)",up,-0.5107325794056183
"(5, 1)",down,-0.5105583640244238
"(5, 1)",left,-0.510658131140875
"(5, 1)",right,-0.5107842778450584
"(5, 2)",up,-0.5055840143237944
"(5, 2)",down,-0.5055118512386625
"(5, 2)",left,-0.5056178345022472
"(5, 2)",right,-0.5059819110613932
"(5, 3)",up,-0.5049539841727086
"(5, 3)",down,-0.5050050472412404
"(5, 3)",left,-0.5050068996276749
"(5, 5)",up,0.0
"(5, 5)",down,0.0
"(5, 5)",right,0.0
"(5, 6)",up,-0.1158421748912432
"(5, 6)",down,-0.011962389180902106
"(5, 6)",left,0.15644823854797196
"(5, 6)",right,-0.013251447732345888
"(5, 7)",up,-0.09175407736837865
"(5, 7)",down,0.3850996262620694
"(5, 7)",left,-0.20867013429685
"(5, 7)",right,-0.21144946666383582
"(5, 8)",up,-0.026340376397604486
"(5, 8)",down,-0.21166441273944075
"(5, 8)",left,-0.024574464357620902
"(5, 8)",right,-0.02576322150330225
"(5, 9)",up,-0.19631781856221844
"(5, 9)",down,-0.1957429273070258
"(5, 9)",left,-0.2200710846144111
"(6, 0)",up,-0.49412992562343716
"(6, 0)",down,-0.49375457242613097
"(6, 0)",right,-0.49377213867539677
"(6, 1)",up,-0.4892980574931565
"(6, 1)",down,-0.48944492138529877
"(6, 1)",left,-0.4892843721922621
"(6, 1)",right,-0.48952658069930954
"(6, 2)",up,-0.48492053896631687
"(6, 2)",down,-0.485056072534334
"(6, 2)",left,-0.4851158753325159
"(6, 2)",right,-0.4850155880494969
"(6, 3)",up,-0.4947819705707151
"(6, 3)",down,-0.4981163161401181
"(6, 3)",left,-0.4949700592424104
"(6, 5)",up,0.8999999999851002
"(6, 5)",down,-0.1157459630785273
"(6, 5)",right,-0.01388782270119352
"(6, 6)",up,-0.17347476061056769
"(6, 6)",down,-0.24638974022579163
"(6, 6)",left,0.7099999996536129
"(6, 6)",right,-0.028108596615959446
"(6, 7)",up,-0.05627597797315542
"(6, 7)",down,-0.057041634872951365
"(6, 7)",left,0.5389999959704652
"(6, 7)",right,-0.30610441446216957
"(6, 8)",up,-0.21091905868132665
"(6, 8)",down,-0.02563104490280502
"(6, 8)",left,-0.03455695022012955
"(6, 8)",right,-0.02873142156153841
"(6, 9)",up,-0.17537724528715126
"(6, 9)",down,-0.17539449344487928
"(6, 9)",left,-0.3221049249878083
"(7, 0)",up,-0.47124019679938545
"(7, 0)",down,-0.47121969137302144
"(7, 0)",right,-0.4713071775174016
"(7, 1)",up,-0.46420439076835324
"(7, 1)",down,-0.4637101099156317
"(7, 1)",left,-0.46360929814033314
"(7, 1)",right,-0.46386211930709803
"(7, 2)",up,-0.44819126688481253
"(7, 2)",down,-0.44782855560244383
"(7, 2)",left,-0.44830242686801347
"(7, 2)",right,-0.44973790017394644
"(7, 3)",up,-0.07253892445838174
"(7, 3)",down,-0.07416289791388327
"(7, 3)",left,-0.07331025618826989
"(7, 5)",up,-0.01158089374672856
"(7, 5)",down,-0.027283877511466152
"(7, 5)",right,-0.22907323680527553
"(7, 6)",up,-0.022306815027056073
"(7, 6)",down,-0.02942138308303555
"(7, 6)",left,-0.2453714642072823
"(7, 6)",right,-0.027067904600488482
"(7, 7)",up,0.38396378066823944
"(7, 7)",down,-0.09492976001991882
"(7, 7)",left,-0.28070087648928216
"(7, 7)",right,-0.09496001683203888
"(7, 8)",up,-0.2729609801496436
"(7, 8)",down,-0.12461413383748961
"(7, 8)",left,-0.09898618984087829
"(7, 8)",right,-0.1249121535276554
"(7, 9)",up,-0.15102480100507404
"(7, 9)",down,-0.15131620264208567
"(7, 9)",left,-0.15108250390090056
"(8, 0)",up,-0.45052221017194716
"(8, 0)",down,-0.45036373435885724
"(8, 0)",right,-0.45042654390167636
"(8, 1)",up,-0.4371399300398622
"(8, 1)",down,-0.4367467221793286
"(8, 1)",left,-0.43641805277684215
"(8, 1)",right,-0.43644938483919854
"(8, 2)",up,-0.4017891108105396
"(8, 2)",down,-0.4015649575111283
